70 0.039 613.13 2119.62 5464.51 2732.75 0.289
70 0.042 571.525 2118.58 5379.21 2690.11 0.3145
70 0.045 554.224 2195.19 5497.84 2749.42 0.316
70 0.048 511.607 2166.98 5356.17 2678.58 0.347
70 0.051 466.671 2075.8 5083.93 2542.47 0.367
70 0.054 441.513 2082.78 5047.59 2524.3 0.3555
70 0.057 395.563 1953.72 4697.56 2349.28 0.3635
70 0.06 352.759 1803.85 4312.21 2156.61 0.392
75 0 1 0 1 1 0
75 0.003 10.4825 1.992 23.949 12.4745 0.0325
75 0.006 43.351 18.2565 122.215 61.6075 0.081
75 0.009 110.801 73.6005 367.803 184.401 0.1035
75 0.012 197.178 185.831 765.016 383.008 0.135
75 0.015 281.421 350.332 1262.51 631.753 0.173
75 0.018 342.075 527.66 1738.47 869.735 0.1975
75 0.021 393.582 729.209 2244.58 1122.79 0.204
75 0.024 428.055 923.779 2702.67 1351.83 0.2285
75 0.027 443.856 1100.97 3088.66 1544.83 0.255
75 0.03 446.021 1242.88 3376.8 1688.9 0.2775
75 0.033 413.115 1262.6 3350.43 1675.72 0.3035
75 0.036 381.137 1286.17 3333.62 1667.31 0.337
75 0.039 373.197 1367.3 3480 1740.5 0.329
75 0.042 337.498 1326.23 3326.46 1663.73 0.343
75 0.045 300.522 1277.6 3155.25 1578.12 0.378
75 0.048 278.385 1280.3 3116.37 1558.68 0.393
75 0.051 242.679 1172.26 2828.87 1414.94 0.404
75 0.054 214.506 1112.58 2653.17 1327.09 0.4165
75 0.057 194.567 1081.13 2550.39 1275.69 0.4265
75 0.06 154.453 920.288 2148.48 1074.74 0.485
80 0 1 0 1 1 0
80 0.003 9.5685 1.963 22.063 11.5315 0.0425
80 0.006 39.3855 17.7295 113.23 57.115 0.0965
80 0.009 91.9405 66.0495 314.98 157.99 0.135
80 0.012 163.28 165.064 655.688 328.344 0.1515
80 0.015 222.22 293.841 1031.12 516.062 0.1875
80 0.018 263.343 427.565 1380.82 690.908 0.218
80 0.021 291.346 573.701 1729.09 865.047 0.2495
80 0.024 303.319 700.053 2005.74 1003.37 0.266
80 0.027 307.595 805.875 2225.94 1113.47 0.273
80 0.03 285.201 845.066 2259.53 1130.27 0.314
80 0.033 257.139 857.697 2228.67 1114.84 0.354
80 0.036 228.219 830.179 2115.8 1058.4 0.3605
80 0.039 205.448 827.048 2063.99 1032.5 0.3925
80 0.042 184.601 810.146 1988.49 994.747 0.3845
80 0.045 155.731 752.415 1815.29 908.145 0.4365
80 0.048 130.766 681.723 1623.98 812.49 0.4565
80 0.051 108.876 622.342 1461.44 731.218 0.477
80 0.054 90.3145 566.911 1313.45 657.226 0.5
80 0.057 70.8675 486.325 1113.39 557.193 0.5305
80 0.06 62.3195 467.379 1058.4 529.698 0.532
85 0 1 0 1 1 0
85 0.003 9.557 2.236 22.586 11.793 0.0535
85 0.006 35.7035 17.532 105.471 53.2355 0.0865
85 0.009 80.5985 62.673 285.543 143.272 0.1495
85 0.012 129.447 139.132 536.159 268.579 0.1765
85 0.015 170.029 238.886 816.828 408.914 0.2145
85 0.018 202.76 353.772 1112.06 556.532 0.2335
85 0.021 206.53 437.303 1286.67 643.833 0.286
85 0.024 212.557 526.745 1477.61 739.303 0.28
85 0.027 196.964 564.928 1522.79 761.893 0.3185
85 0.03 177.023 571.926 1496.9 748.948 0.3525
85 0.033 150.951 554.577 1410.06 705.529 0.39
85 0.036 127.662 519.311 1292.95 646.973 0.4095
85 0.039 105.251 484.757 1179.02 590.008 0.45
85 0.042 85.9835 439.849 1050.66 525.832 0.4785
85 0.045 70.3195 402.538 944.714 472.857 0.504
85 0.048 52.8365 339.864 784.401 392.7 0.5405
85 0.051 41.66 298.059 678.438 339.719 0.583
85 0.054 35.657 287.321 644.956 322.978 0.571
85 0.057 24.964 229.968 508.864 254.932 0.629
85 0.06 19.3165 202.667 442.966 221.983 0.663
90 0 1 0 1 1 0
90 0.003 9.214 2.116 21.66 11.33 0.0525
90 0.006 33.485 17.6555 101.281 51.1405 0.1085
90 0.009 67.489 56.39 246.758 123.879 0.154
90 0.012 108.811 126.731 470.083 235.542 0.18
90 0.015 126.711 191.62 635.663 318.332 0.2405
90 0.018 142.864 274.127 832.983 416.991 0.26
90 0.021 141.06 325.976 933.072 467.036 0.3055
90 0.024 135.026 371.317 1011.68 506.342 0.3285
90 0.027 115.553 369.72 969.546 485.273 0.3685
90 0.03 95.6625 354.41 899.145 450.072 0.4245
90 0.033 82.213 347.995 859.415 430.207 0.4355
90 0.036 63.8455 311.527 749.745 375.373 0.474
90 0.039 52.9335 291.267 687.401 344.2 0.4995
90 0.042 38.221 246.96 569.362 285.181 0.5465
90 0.045 26.598 198.749 449.694 225.347 0.6045
90 0.048 18.447 161.117 358.128 179.564 0.649
90 0.051 15.368 159.412 348.561 174.78 0.662
90 0.054 9.9355 125.529 269.93 135.465 0.7135
90 0.057 6.449 98.217 208.332 104.666 0.7635
90 0.06 4.4515 81.9035 171.71 86.355 0.8045
95 0 1 0 1 1 0
95 0.003 8.4205 2.231 20.303 10.6515 0.065
95 0.006 29.8465 17.1205 92.934 46.967 0.111
95 0.009 55.642 50.9465 212.177 106.588 0.1765
